     class_id                                         class_name
183       184                         AM General Hummer SUV 2000
184       185                                Acura RL Sedan 2012
185       186                                Acura TL Sedan 2012
186       187                               Acura TL Type-S 2008
187       188                               Acura TSX Sedan 2012
188       189                          Acura Integra Type R 2001
189       190                           Acura ZDX Hatchback 2012
190       191           Aston Martin V8 Vantage Convertible 2012
191       192                 Aston Martin V8 Vantage Coupe 2012
192       193               Aston Martin Virage Convertible 2012
193       194                     Aston Martin Virage Coupe 2012
194       195                         Audi RS 4 Convertible 2008
195       196                                 Audi A5 Coupe 2012
196       197                                Audi TTS Coupe 2012
197       198                                 Audi R8 Coupe 2012
198       199                                 Audi V8 Sedan 1994
199       200                                Audi 100 Sedan 1994
200       201                                Audi 100 Wagon 1994
201       202                             Audi TT Hatchback 2011
202       203                                 Audi S6 Sedan 2011
203       204                           Audi S5 Convertible 2012
204       205                                 Audi S5 Coupe 2012
205       206                                 Audi S4 Sedan 2012
206       207                                 Audi S4 Sedan 2007
207       208                              Audi TT RS Coupe 2012
208       209                      BMW ActiveHybrid 5 Sedan 2012
209       210                      BMW 1 Series Convertible 2012
210       211                            BMW 1 Series Coupe 2012
211       212                            BMW 3 Series Sedan 2012
212       213                            BMW 3 Series Wagon 2012
213       214                      BMW 6 Series Convertible 2007
214       215                                    BMW X5 SUV 2007
215       216                                    BMW X6 SUV 2012
216       217                                  BMW M3 Coupe 2012
217       218                                  BMW M5 Sedan 2010
218       219                            BMW M6 Convertible 2010
219       220                                    BMW X3 SUV 2012
220       221                            BMW Z4 Convertible 2012
221       222  Bentley Continental Supersports Conv. Converti...
222       223                          Bentley Arnage Sedan 2009
223       224                        Bentley Mulsanne Sedan 2011
224       225                  Bentley Continental GT Coupe 2012
225       226                  Bentley Continental GT Coupe 2007
226       227         Bentley Continental Flying Spur Sedan 2007
227       228               Bugatti Veyron 16.4 Convertible 2009
228       229                     Bugatti Veyron 16.4 Coupe 2009
229       230                                Buick Regal GS 2012
230       231                             Buick Rainier SUV 2007
231       232                            Buick Verano Sedan 2012
232       233                             Buick Enclave SUV 2012
233       234                          Cadillac CTS-V Sedan 2012
234       235                              Cadillac SRX SUV 2012
235       236                Cadillac Escalade EXT Crew Cab 2007
236       237      Chevrolet Silverado 1500 Hybrid Crew Cab 2012
237       238                Chevrolet Corvette Convertible 2012
238       239                        Chevrolet Corvette ZR1 2012
239       240    Chevrolet Corvette Ron Fellows Edition Z06 2007
240       241                        Chevrolet Traverse SUV 2012
241       242                  Chevrolet Camaro Convertible 2012
242       243                              Chevrolet HHR SS 2010
243       244                        Chevrolet Impala Sedan 2007
244       245                    Chevrolet Tahoe Hybrid SUV 2012
245       246                         Chevrolet Sonic Sedan 2012
246       247                   Chevrolet Express Cargo Van 2007
247       248                  Chevrolet Avalanche Crew Cab 2012
248       249                           Chevrolet Cobalt SS 2010
